code,date,value
TVTVR,2014-10-15,6.8705
TVTVR,2014-10-14,6.8064
TVTVR,2014-10-13,7.6479
TVTVR,2014-10-12,9.915
TVTVR,2014-10-11,17.1975
TVTVR,2014-10-10,5.89
TVTVR,2014-10-09,5.5963
TVTVR,2014-10-08,6.8448
TVTVR,2014-10-07,6.3353
TVTVR,2014-10-06,2.955
TVTVR,2014-10-05,4.5074
TVTVR,2014-10-04,6.3848
TVTVR,2014-10-03,8.0964
TVTVR,2014-10-02,12.9433
TVTVR,2014-10-01,8.024
TVTVR,2014-09-30,9.468
TVTVR,2014-09-29,8.0027
TVTVR,2014-09-28,8.8919
TVTVR,2014-09-27,14.3219
TVTVR,2014-09-26,11.376
TVTVR,2014-09-25,7.3097
TVTVR,2014-09-24,4.4557
TVTVR,2014-09-23,8.0244
TVTVR,2014-09-22,6.9784
TVTVR,2014-09-21,9.5218
TVTVR,2014-09-20,6.809
TVTVR,2014-09-19,5.5527
TVTVR,2014-09-18,9.9367
TVTVR,2014-09-17,10.1813
TVTVR,2014-09-16,15.7078
TVTVR,2014-09-15,18.7946
TVTVR,2014-09-14,17.8391
TVTVR,2014-09-13,11.6991
TVTVR,2014-09-12,12.9125
TVTVR,2014-09-11,11.7902
TVTVR,2014-09-10,9.4239
TVTVR,2014-09-09,15.5676
TVTVR,2014-09-08,8.1235
TVTVR,2014-09-07,22.016
TVTVR,2014-09-06,29.0407
TVTVR,2014-09-05,8.5474
TVTVR,2014-09-04,8.5908
TVTVR,2014-09-03,18.6669
TVTVR,2014-09-02,16.377
TVTVR,2014-09-01,9.4264
TVTVR,2014-08-31,7.0475
TVTVR,2014-08-30,27.9631
TVTVR,2014-08-29,10.0015
TVTVR,2014-08-28,16.2433
TVTVR,2014-08-27,15.877
TVTVR,2014-08-26,13.8822
TVTVR,2014-08-25,19.3388
TVTVR,2014-08-24,8.1295
TVTVR,2014-08-23,7.4576
TVTVR,2014-08-22,9.1652
TVTVR,2014-08-21,7.0277
TVTVR,2014-08-20,6.4363
TVTVR,2014-08-19,6.5474
TVTVR,2014-08-18,5.9014
TVTVR,2014-08-17,6.7347
TVTVR,2014-08-16,8.9372
TVTVR,2014-08-15,8.2535
TVTVR,2014-08-14,5.5911
TVTVR,2014-08-13,5.1172
TVTVR,2014-08-12,13.3613
TVTVR,2014-08-11,18.1983
TVTVR,2014-08-10,18.7464
TVTVR,2014-08-09,46.3109
TVTVR,2014-08-08,15.3411
TVTVR,2014-08-07,18.6768
TVTVR,2014-08-06,14.7092
TVTVR,2014-08-05,19.5132
TVTVR,2014-08-04,26.7513
TVTVR,2014-08-03,16.8663
TVTVR,2014-08-02,15.9775
TVTVR,2014-08-01,13.8599
TVTVR,2014-07-31,7.1286
TVTVR,2014-07-30,10.5914
TVTVR,2014-07-29,15.8064
TVTVR,2014-07-28,8.0027
TVTVR,2014-07-27,13.8906
TVTVR,2014-07-26,12.5225
TVTVR,2014-07-25,14.1981
TVTVR,2014-07-24,10.0878
TVTVR,2014-07-23,25.212
TVTVR,2014-07-22,31.5328
TVTVR,2014-07-21,22.0581
TVTVR,2014-07-20,26.0279
TVTVR,2014-07-19,24.2958
TVTVR,2014-07-18,21.0115
TVTVR,2014-07-17,10.9225
TVTVR,2014-07-16,24.8867
TVTVR,2014-07-15,19.6551
TVTVR,2014-07-14,18.7702
TVTVR,2014-07-13,15.0102
TVTVR,2014-07-12,10.4598
TVTVR,2014-07-11,14.3847
TVTVR,2014-07-10,11.9633
TVTVR,2014-07-09,37.0963
TVTVR,2014-07-08,30.5265
TVTVR,2014-07-07,9.3078
TVTVR,2014-07-06,13.8903
TVTVR,2014-07-05,20.3211
TVTVR,2014-07-04,8.7834
TVTVR,2014-07-03,19.5685
TVTVR,2014-07-02,15.7314
TVTVR,2014-07-01,12.429
TVTVR,2014-06-30,7.274
TVTVR,2014-06-29,29.2573
TVTVR,2014-06-28,10.4269
TVTVR,2014-06-27,10.1052
TVTVR,2014-06-26,20.7413
TVTVR,2014-06-25,10.4804
TVTVR,2014-06-24,56.4522
TVTVR,2014-06-23,16.7105
TVTVR,2014-06-22,12.0516
TVTVR,2014-06-21,15.6378
TVTVR,2014-06-20,9.0735
TVTVR,2014-06-19,26.2978
TVTVR,2014-06-18,9.5634
TVTVR,2014-06-17,13.7149
TVTVR,2014-06-16,5.7046
TVTVR,2014-06-15,8.3364
TVTVR,2014-06-14,4.4794
TVTVR,2014-06-13,8.4056
TVTVR,2014-06-12,17.0764
TVTVR,2014-06-11,19.1383
TVTVR,2014-06-10,25.7424
TVTVR,2014-06-09,9.2164
TVTVR,2014-06-08,18.1859
TVTVR,2014-06-07,7.5832
TVTVR,2014-06-06,19.5382
TVTVR,2014-06-05,8.8852
TVTVR,2014-06-04,5.839
TVTVR,2014-06-03,5.5823
TVTVR,2014-06-02,4.2095
TVTVR,2014-06-01,6.6925
TVTVR,2014-05-31,6.3342
TVTVR,2014-05-30,6.2366
